Stock1,Stock2,P-Value,Cluster,Sector,Hedge_Ratio,Half_Life,Hurst_Exponent,Zero_Crossings
ADSK,IT,0.0003,tech_0,tech,0.21173697915477363,128.07,0.3975,34
ADSK,FICO,0.00034,tech_0,tech,0.059773742465930424,25.08,0.3522,60
ADSK,PTC,0.00035,tech_0,tech,1.050987259248554,34.99,0.3461,32
TER,ADI,0.00076,tech_1,tech,0.301687085778807,47.83,0.4538,48
ADSK,MSI,0.00081,tech_0,tech,0.39987640200348445,20.12,0.328,60
ADSK,NOW,0.00083,tech_0,tech,0.17500780977779437,19.9,0.2961,60
FICO,PTC,0.00108,tech_0,tech,15.230661958475288,59.79,0.4925,30
ADSK,CRM,0.00131,tech_0,tech,0.6056545153200824,58.85,0.3921,40
ADSK,INTU,0.00137,tech_0,tech,0.310559167421656,40.82,0.3865,40
TER,ON,0.00138,tech_1,tech,0.13994882240442075,68.73,0.4629,46
ADSK,ROP,0.00153,tech_0,tech,0.49556265048627635,75.39,0.4508,34
ADSK,MSFT,0.00219,tech_0,tech,0.40740300727356415,29.92,0.4012,51
CL,MDLZ,0.00625,consumer_staples_1,consumer_staples,0.8347383511586691,173.68,0.489,34
FISV,V,0.00693,financials_7,financials,0.4517564760306669,inf,0.5309,27
AMAT,NXPI,0.0084,information_technology_1,information_technology,1.1921725916260626,49.32,0.3075,97
LEN,DHI,0.00984,consumer_discretionary_3,consumer_discretionary,0.8025732796073575,305.11,0.396,54
CL,KO,0.00991,consumer_staples_1,consumer_staples,0.9081855967391695,132.25,0.4869,41
PNC,USB,0.01036,financials_3,financials,3.766608537659115,66.41,0.3717,25
CL,PEP,0.01037,consumer_staples_1,consumer_staples,0.09659367924535642,185.86,0.5002,15
AEP,ETR,0.01122,utilities_0,utilities,0.7825556179849918,38.53,0.4263,49
ADSK,VRSN,0.01304,tech_0,tech,0.7255601337083687,84.06,0.444,36
CL,PG,0.01307,consumer_staples_1,consumer_staples,0.5307714656526105,68.18,0.5133,32
CSX,UNP,0.01588,industrials_1,industrials,0.10543598196224062,34.14,0.4054,99
C,SYF,0.01612,financials_5,financials,1.1686872109911661,43.93,0.4377,94
INTU,ROP,0.01639,tech_0,tech,1.63560591513383,47.06,0.4052,50
PPL,XEL,0.01662,utilities_0,utilities,0.4806980214632284,119.19,0.4218,35
QCOM,ON,0.01801,tech_1,tech,-0.5867549151971237,40.78,0.3731,38
DUK,ETR,0.01808,utilities_0,utilities,0.7962709940640268,37.49,0.4187,80
CL,KMB,0.01895,consumer_staples_1,consumer_staples,0.8000272242401715,69.91,0.3515,58
BAC,PNC,0.01934,financials_3,financials,0.2601045482600173,46.54,0.4001,57
AIG,HIG,0.02105,financials_0,financials,0.46895756652218645,35.36,0.3926,50
LRCX,NXPI,0.02249,information_technology_1,information_technology,0.6202098769705653,inf,0.4478,53
PPL,SRE,0.02619,utilities_0,utilities,0.33720924259486423,119.46,0.5201,20
TXN,ON,0.0262,tech_1,tech,-0.20238278080449257,34.83,0.3248,45
ETR,FE,0.02648,utilities_0,utilities,3.1246655176062914,61.88,0.4803,30
FE,NI,0.02666,utilities_0,utilities,0.578716609882121,32.53,0.4266,67
EXC,NI,0.02881,utilities_0,utilities,0.6262432099336601,80.36,0.4373,38
CMS,DUK,0.03037,utilities_0,utilities,0.5065228180426001,19.04,0.2871,83
ADBE,NOW,0.03126,tech_0,tech,0.10215921380855661,109.24,0.4647,21
PPL,NI,0.03265,utilities_0,utilities,0.599347671730803,34.06,0.3575,63
SWKS,TER,0.03482,tech_1,tech,0.32757150844639754,93.94,0.3838,23
CNP,ED,0.03514,utilities_0,utilities,0.35201718584660757,131.43,0.4899,65
MCHP,ADI,0.03829,tech_1,tech,0.06505150839710136,63.58,0.4223,45
INTU,PTC,0.03938,tech_0,tech,3.1396724854597857,29.42,0.4125,61
BALL,IFF,0.04015,materials_0,materials,0.5507318238280199,32.9,0.3927,60
INTU,NOW,0.04037,tech_0,tech,0.47451012848440355,36.11,0.409,46
COF,C,0.04156,financials_5,financials,2.1847453269990513,32.67,0.3848,52
CRM,NOW,0.0429,tech_0,tech,0.2264230760260403,46.86,0.4675,41
TXN,QCOM,0.04296,information_technology_1,information_technology,0.4415230423787501,35.39,0.3938,63
FITB,PNC,0.04318,financials_3,financials,0.2358656341029116,27.6,0.3182,70
TXN,TER,0.04333,tech_1,tech,0.4790775719924222,54.18,0.3305,44
INTU,MSFT,0.04374,tech_0,tech,1.2471257007283856,19.59,0.3374,79
FICO,MSI,0.04375,tech_0,tech,6.094407023912187,25.69,0.3504,71
MA,V,0.04469,financials_7,financials,1.6271501052091522,31.55,0.4135,69
CMS,ETR,0.04542,utilities_0,utilities,0.40653286031511654,30.13,0.3846,92
TXN,ADI,0.04645,tech_1,tech,0.5047281830995853,34.82,0.3234,63
JNJ,ABBV,0.0469,health_care_1,health_care,0.22279415832903116,112.04,0.431,45
ETR,XEL,0.04767,utilities_0,utilities,1.9219869162337893,96.09,0.3606,35
